Jan 24 16:04:33 <mclasen>	hey its time
Jan 24 16:04:43 <kris>	yes
Jan 24 16:05:18 <mclasen>	I see you are doing cool stuff, kris
Jan 24 16:05:49 <kris>	slowly clearing the bug queue ...
Jan 24 16:06:04 <mclasen>	when we were looking at the rubberband selection stuff, we noticed that we should have the alternating rows in the selection too
Jan 24 16:06:11 <mclasen>	ETable does that
Jan 24 16:06:13 <kris>	yeah
Jan 24 16:06:18 <kris>	it's on my list already ;)
Jan 24 16:06:24 <mclasen>	ah, nice
Jan 24 16:06:37 <mclasen>	(you should see my list sometime...)
Jan 24 16:07:16 <kris>	yeah
Jan 24 16:07:19 <kris>	i don't write my list down
Jan 24 16:07:25 <kris>	so I forget half of it every month
Jan 24 16:07:42 <mclasen>	prevents it from growing excessively...
Jan 24 16:08:00 <kris>	yup ;)
Jan 24 16:08:36 <mclasen>	so, do we have any important outstanding fixes that should go in gtk 2.8.11 ? 
Jan 24 16:08:59 <mclasen>	I want to do that around the end of the week, for gnome 2.13.90
Jan 24 16:09:00 <kris>	going to release 2.8.11 already?
Jan 24 16:09:02 <kris>	ah
Jan 24 16:09:26 <mclasen>	also, I fixed some crasher bugs for which I want to get the fixes into rawhide
Jan 24 16:10:11 <mclasen>	kris: there were some bug reports about crashes in tree model code
Jan 24 16:10:21 <mclasen>	i think tree model filter, mostly
Jan 24 16:10:58 <kris>	not the sort model?
Jan 24 16:11:03 <kris>	i fixed a little bug in the sort model in head
Jan 24 16:11:09 <kris>	recently
Jan 24 16:11:48 <mclasen>	oh, maybe it was the sort model
Jan 24 16:12:41 <kris>	and that fix fixed some crashers
Jan 24 16:13:08 <mclasen>	ok, maybe it was that
Jan 24 16:13:53 <kris>	http://bugzilla.gnome.org/show_bug.cgi?id=326289
Jan 24 16:15:51 <mclasen>	yes, thats one of the bugs I remembered
Jan 24 16:16:01 -->	ebassi (~ebassi@213-140-6-105.ip.fastwebnet.it) has joined #gtk-devel
Jan 24 16:16:45 <mclasen>	so, kris, if you want to blog a state-of-Ridley update sometime, we have GtkAssistant and GtkLinkButton in cvs now
Jan 24 16:16:59 <kris>	yeah, that's in my notes already
Jan 24 16:17:03 <kris>	i started keeping notes
Jan 24 16:17:11 <mclasen>	both are not 100% finished, but getting there
Jan 24 16:17:12 <kris>	since i usually read changelog on each cvs up
Jan 24 16:17:33 <ebassi>	mclasen: thanks for the link button, by the way
Jan 24 16:17:39 <mclasen>	another thing I committed together with the link button is style properties for link-color and visible-link-color
Jan 24 16:18:05 <mclasen>	those may be useful independent of GtkLinkButton
Jan 24 16:18:59 <mclasen>	ebassi: jrb thinks that it sucks, with having to connect to "clicked" manually
Jan 24 16:19:35 <ebassi>	mclasen: the hook function might be useful, after all
Jan 24 16:20:51 <mclasen>	ebassi: with the hook function it sucks less. Ideally, jrb wants to have some init function (like gnome_program_init) set up default hooks
Jan 24 16:21:29 <mclasen>	ebassi: maybe a longterm solution here could be to just load a module that does such things
