 **** BEGIN LOGGING AT Wed Feb 22 16:01:15 2006

Feb 14 15:45:24 <mclasen>	hmmm, no federico
Feb 14 15:47:46 <rambokid>	isn't it too early still?
Feb 14 15:47:56 <dom>	13 minutes to go by my clock
Feb 14 15:55:02 <mclasen>	yes, I was just looking around for federico on irc...
Feb 14 16:03:15 <mclasen>	ok, looks like federico is not around
Feb 14 16:04:58 <mclasen>	so it looks like we should postpone async filechooser discussions until federico shows up
Feb 14 16:05:30 <kris>	guess so yes
Feb 14 16:05:40 <mclasen>	mitch: did you see dom's response re  rich text ?
Feb 14 16:06:15 <mitch>	mclasen: yea i did
Feb 14 16:08:11 <mitch>	after reading it, i beleive there is the need for both approaches, internal format of copying just anything (which needs something like tagsets to be somehow configurable), and other methods which probably should not have that tagset stuff
Feb 14 16:08:47 <mitch>	perhaps leaving out tagsets from application registered (de)seriaization methods would already be sufficient
Feb 14 16:09:25 <dom>	i'm ok with there being an internal format that matches the GtkTextBuffer's model. it's perhaps the best way to guarantee lossless copy+paste
Feb 14 16:09:52 <mitch>	yea, for whatever voodoo stuff people want to do
Feb 14 16:10:22 <mclasen>	the internal format must somehow be parametrized by the used set of tags
Feb 14 16:10:35 <mitch>	yea
Feb 14 16:11:29 <mitch>	i think application installed functions do not need this, since they will know what to do
Feb 14 16:12:27 <dom>	why treat this one differently?
Feb 14 16:13:22 <mclasen>	because app b may not know what to do with tags from app a ?
Feb 14 16:13:28 <mitch>	they do not need tagsets i mean, if your app has an xhtml deserializer, it will know what tags the textbuffer can handle and just do what's right
Feb 14 16:13:36 <mitch>	oh
Feb 14 16:13:42 <mitch>	ok, i did misread
Feb 14 16:14:47 <dom>	mitch: won't letting app b subclass the tagset deserializer solve that issue?
Feb 14 16:14:58 <mitch>	dom: that's actually the special case of copying within one app or multiple apps of the same "framework" or whatever
Feb 14 16:15:31 <mitch>	dom: their text buffers may have whistles and bells which do not appear in any serialized form, but which one wants to copy between them
Feb 14 16:15:31 <mclasen>	one could just do a get_data(), try to deserialize it, and have the drop/paste fail if one meets unknown tags...
Feb 14 16:16:38 <mitch>	dom: subclassing involves abstracting that stuff generally, right now we just register function pointers
Feb 14 16:17:29 <dom>	i don't mean to present "subclassing" as the only way to solve the problem
Feb 14 16:17:45 <mitch>	yea
Feb 14 16:18:00 <dom>	i guess i don't understand why we're pushing the deserialization logic down to the TextView, instead of up 1 level to the app
Feb 14 16:18:30 <mitch>	um, it's the app that registers the stuff
Feb 14 16:18:34 <mclasen>	we are not. the app registers the deserialization functions
Feb 14 16:18:40 <dom>	i might suggest documenting the tagset markup, and the apps write parsers for it. they can ignore whatever they don't grok
Feb 14 16:18:43 <mitch>	the text buffer just uses the rich text registry
Feb 14 16:20:42 <mitch>	the deserialization functions are completely separate and registered in gtkrichtext.c as any app-supplied one
Feb 14 16:20:57 <mitch>	the app can even unregister it
Feb 14 16:22:45 <cehteh>	anyone of you interested in helping me with gtk bindings for prolog? :)
Feb 14 16:23:18 <mitch>	cehteh: wrong channel, this is a meeting. go to #gtk+
Feb 14 16:23:58 <cehteh>	ah well :)
Feb 14 16:23:59 <mitch>	um, unless i misunderstood you, did i :)
Feb 14 16:24:10 <jrb>	if he's writing bindings, it's not totally off topic
Feb 14 16:24:25 <mitch>	yea that's what i just thought too
