Apr 11 15:27:23 *	mclasen gets coffee
Apr 11 15:32:35 <mclasen>	cool, alex is here
Apr 11 15:32:39 <mclasen>	hey alex_away
Apr 11 15:33:39 <mclasen>	alex_away: maybe we should start by discussing the status of the printing branch
Apr 11 15:34:00 <alex>	ok
Apr 11 15:34:10 <alex>	I think its in a pretty good status now
Apr 11 15:34:59 <alex>	There are some things that are not in it at all yet
Apr 11 15:35:03 <alex>	API docs
Apr 11 15:35:13 <alex>	Print preview
Apr 11 15:35:29 <alex>	adding app-specific widgets to the dialogs
Apr 11 15:35:57 <alex>	Other than that i think its mostly "finished"
Apr 11 15:36:03 <mclasen>	which of these do you think are blocking the merge ?
Apr 11 15:36:24 <alex>	None really
Apr 11 15:36:32 <mclasen>	one point I am slightly nervous about is the fact that we have no cairo 1.2 yet
Apr 11 15:36:40 <alex>	yeah...
Apr 11 15:36:57 <alex>	I'd like to have someone do a more thorough review too
Apr 11 15:37:07 <alex>	jody did one a while ago
Apr 11 15:37:16 <mclasen>	I never saw his comments
Apr 11 15:37:20 <alex>	but i haven't seen the output from that unfortunately :(
Apr 11 15:37:31 <alex>	Maybe we should ping him
Apr 11 15:37:34 <mclasen>	oh, we should get that
Apr 11 15:38:15 <alex>	API docs is a must for the release, but both print preview and app-specific tab is non-critical and can be punted to later versions if needed.
Apr 11 15:38:26 <alex>	Its more important that we get the core solid
Apr 11 15:39:44 <alex>	mclasen: Have you looked much at the printing branch?
Apr 11 15:42:36 <mclasen>	alex: not too much, beyond the smallscale fixing I did here and there
Apr 11 15:43:33 <mclasen>	alex: I think it would be great to look at converting one or two applications to the new printing api, to test the new api
Apr 11 15:43:34 <alex>	I'm running out of things to fix, so the main thing i'd like at this point is someone with experience in the printing world looking at the apis
Apr 11 15:43:46 <alex>	Didn't j5 do gedit?
Apr 11 15:43:54 <alex>	or start on it at least
Apr 11 15:43:58 <mclasen>	alex: hmm, I don't know if he did before he left
Apr 11 15:44:03 <mclasen>	when is he back, btw ?
Apr 11 15:44:09 <alex>	He was gonna do it on the plane
Apr 11 15:44:15 <alex>	dunno when he'll be back
Apr 11 15:44:19 <alex>	soon i think
Apr 11 15:44:36 <mclasen>	I hear he may be back next week
Apr 11 15:45:03 <mclasen>	alex: another person with printing experience is lewing, but his view may be a bit skewed...
Apr 11 15:45:52 <jrb_>	he's at the conference right now
Apr 11 15:46:08 <alex>	Is his experience only from f-spot work, or did he work on gnome-print?
Apr 11 15:46:09 <jrb_>	alex: did you ever get jody to review it?
Apr 11 15:46:25 <alex>	jrb_: Yeah, he spent a day at it, but then never posted the results...
Apr 11 15:46:35 <dom>	gnumeric and abiword are 2 apps that absolutely need to print. getting them to do an API review would be great
Apr 11 15:46:51 <mclasen>	alex: I think lewing is mostly about photo printing
Apr 11 15:47:11 <mclasen>	with strong requirements about gamut matching, colorspace  conversion, and other odd things
Apr 11 15:47:18 <alex>	yeah
Apr 11 15:47:27 <alex>	thats all in cairo-land though
Apr 11 15:48:40 <mclasen>	true
Apr 11 15:49:43 <mclasen>	alex: so, I think it is a good idea to hold off with merging until j5 is back and can show us his gedit port, and jody has given us some feedback
Apr 11 15:49:45 <alex>	dom: Did you look at the api?
Apr 11 15:49:55 <dom>	alex: no, i haven't yet
Apr 11 15:49:58 <alex>	mclasen: Sounds good to me
Apr 11 15:50:09 <alex>	mclasen: I need to spend some time doing upstream gnome work
Apr 11 15:50:20 <mclasen>	alex: in the meantime, we should maybe switch to starting api docs 
Apr 11 15:50:43 <alex>	mclasen: yeah
Apr 11 15:50:44 <mclasen>	alex: did you and j5 ever produce some kind of highlevel architecture overview writeup ?
Apr 11 15:50:56 <mclasen>	was that in the summit slides ?
Apr 11 15:51:10 <dom>	alex: do you have a link (viewcvs maybe?) to the relevant header?
Apr 11 15:53:00 <mclasen>	there's jody
Apr 11 15:53:22 <alex>	mclasen: only http://cvs.gnome.org/viewcvs/*checkout*/libegg/libegg/print-operation/README?rev=1.3 and the summit slides
Apr 11 15:54:05 <alex>	jody: Did you write down stuff from your review of the printing work?
Apr 11 15:54:06 <jody>	mclasen: I liked the api for the most part but did not have time to connect it to gnumeric.  My compaints were nit-picks rather than anything substantive
Apr 11 15:54:31 <mclasen>	alex: ok, I may make an attempt to convert that to an overview section for the api docs
Apr 11 15:54:53 <alex>	dom: http://cvs.gnome.org/viewcvs/*checkout*/gtk%2B/gtk/gtkprintoperation.h?rev=1.1.2.7 is a good start
Apr 11 15:55:02 <dom>	alex: thanks. i was just browsing it
Apr 11 15:56:02 <jody>	alex: The main items were the use of gtk_print_operation_set_unit, and falling into the same UI pitfall as gnomeprintui for lists
Apr 11 15:56:33 <alex>	jody: What do you think is problematic with _set_unit?
Apr 11 15:56:44 <jody>	alex: gtk_print_operation_set_unit seemed to control the display unit for margins and paper sizes
Apr 11 15:57:16 <alex>	jody: It shouldn't
Apr 11 15:57:28 <jody>	even if we assume some locale dependent default value that is going to make a mess
Apr 11 15:57:42 <alex>	jody: It only affects the coordinate space of the cairo_t you get from the print context
Apr 11 15:58:20 <jody>	hmm, then why was I seeing paper/margins in cm for US Letter ?
Apr 11 15:58:20 <mclasen>	seems api docs would help review as well...
Apr 11 15:58:45 *	jody thought that was tied to the _set_unit call
Apr 11 15:58:48 <alex>	jody: All the api for setting/getting paper size and margins have a unit argument
Apr 11 15:58:51 <dom>	jody: canada uses the metric system, but us paper sizes?
Apr 11 15:59:04 <dom>	so maybe it defaults to canadian units
Apr 11 15:59:06 <jody>	dom: yes
Apr 11 15:59:16 <alex>	jody: We do however try to auto-detect what units to use in the ui
Apr 11 15:59:24 <alex>	maybe that is the problem
Apr 11 15:59:56 <mclasen>	alex: that reminds me (via gettext()) of a question I had about the paper names
Apr 11 16:00:07 <jody>	alex: I suspect the unit should get loaded from the paper type
Apr 11 16:00:15 <mclasen>	alex: theres a lot of strings marked N_(), but you never call gettext() on them...
Apr 11 16:00:30 <alex>	mclasen: oh, thats a bug...
Apr 11 16:00:45 <alex>	jody: Really?
Apr 11 16:00:48 <mclasen>	alex: easy enough to fix, I'll do it
Apr 11 16:01:04 <alex>	jody: So, europeans would see the size of a letter paper in inch?
Apr 11 16:01:45 <jody>	alex: It seems consistent to display paper size in native units
