Jun 05 21:04:44 <ebassi>	so, meeting starts now
Jun 05 21:05:40 <ebassi>	agenda for the evening:
Jun 05 21:05:50 <ebassi>	1. gtk+ schedule followup
Jun 05 21:06:01 <ebassi>	2. action points from last meeting
Jun 05 21:06:10 <ebassi>	3. button sensitivity bug
Jun 05 21:06:32 <behdad>	minor point: is the guadec meeting scheduled already?
Jun 05 21:07:05 <kris2>	behdad: I'd have to check with ross, but last time I spoke him it will probably happen on the Monday
Jun 05 21:07:51 <ebassi>	there should be a meeting room available
Jun 05 21:08:07 <ebassi>	the same that'll be used for the AB room
Jun 05 21:08:15 <kris2>	sounds nice
Jun 05 21:08:28 <tko>	and enough time allocated this time?
Jun 05 21:08:35 <kris2>	should speak with ross tomorrow, so it might even end up in the schedule
Jun 05 21:09:39 <mclasen>	should we move to 1. gtk+ schedule followup ?
Jun 05 21:10:10 <mclasen>	two weeks ago we roughly agreed that a guadec release looks doable
Jun 05 21:10:43 <mclasen>	since then we had 2 devel releases, and it seems that we got most outstanding api landed 
Jun 05 21:10:48 <mclasen>	with the big exceptions of gtkbuilder 
Jun 05 21:10:54 <mclasen>	and offscreen rendering
Jun 05 21:11:39 <behdad>	is anyone looking at offscreen patch at this time?
Jun 05 21:11:46 <mclasen>	and GtkBuilder review has been restarted on the bug, and on the mailing list
Jun 05 21:11:53 <ebassi>	behdad: rambokid
Jun 05 21:12:05 *	behdad didn't notice that
Jun 05 21:12:06 <mclasen>	behdad: rambokid brought it up last time, don't know if he had time to look at it since
Jun 05 21:12:52 <jdahlin>	mclasen asked yesterday if it made sense to put the gtkbuilder work on a branch
Jun 05 21:12:58 <mclasen>	right
Jun 05 21:12:59 <xan>	kris, tap and hold is not for 2.12 then?
Jun 05 21:13:26 <kris2>	xan: the patch is pretty close to being complete
Jun 05 21:13:29 <rambokid>	mclasen: didn't, i was busy with linuxtag basically.
Jun 05 21:14:09 <jdahlin>	I'd wondering, why not just commit it to trunk? I'm committed to finishing all issues and my employeer has allocated resources to do so
Jun 05 21:14:16 <kris2>	and the new tooltips code might need a tiny API addition to improve the positioning code, but didnt have time to look into that
Jun 05 21:14:25 <mclasen>	xan: I don't mind other small things going still
Jun 05 21:15:02 <ebassi>	we still need to decide for 166995, for instance
Jun 05 21:15:09 <xan>	mclasen, kris2, great, ping me if you need help for that one
Jun 05 21:15:11 <ebassi>	but it's really a minor api addition
Jun 05 21:16:01 <kris2>	yeah, I have some minor api additions too still I think
Jun 05 21:16:10 *	kris2 is slowly getting up to speed again with handling tree view bugs
Jun 05 21:16:11 <mclasen>	jdahlin: I guess it is just the question what amount of risk we are taking by committing it to trunk now
Jun 05 21:16:17 <pbor>	with regard to minor api, I'd really love to finally have cursor color 
Jun 05 21:16:18 <kris2>	probably because I am very close to exam time :/
Jun 05 21:16:26 <pbor>	since muntyan worked on that
Jun 05 21:16:34 <behdad>	kris2: are you parallel installable with kris?
Jun 05 21:16:47 <mclasen>	jdahlin: maybe we don't need a branch, but just one more week of discussion and working out api details
Jun 05 21:16:53 <leio>	has anyone entertained the idea of having the possibility of leaving out any bigger API additions from 2.12 if they aren't ready enough by date x, as to be able to commit to a final release date that is early enough for GNOME 2.20 to be able declare gtk2.12 as a dependency, so all the modules can use the already existing additions? It's been at least two gnome's with 2.10 already
Jun 05 21:16:58 <kris2>	behdad: ;)
Jun 05 21:17:03 <behdad>	yeah, muntyan's patches are good to have.
Jun 05 21:17:05 <jdahlin>	mclasen: the development series is meant for this, it can be backed out in worst case
Jun 05 21:17:20 <tristan>	mclasen, jdahlin, I wonder if its a risk to commit to doing builder in gtk+ and not in gobject
Jun 05 21:17:48 <tristan>	but fwiw, I agree that functionally we should shoot for trunk, and will offer any help I can
Jun 05 21:17:57 <mclasen>	jdahlin: I would agree wholeheartedly if we weren't in the "landing phase" 
Jun 05 21:18:19 <jdahlin>	mclasen: putting it of another week would be fine too, doing an API review, committing and then working working out implementation details, documentation and testing on trunk afterwards.
Jun 05 21:18:46 <kris2>	though the time for actually testing it in the devel release might be very short -- which is a concern that was raised last week on the irc channel
Jun 05 21:19:13 <jdahlin>	tristan: what does gobject have to do with gtkbuilder?
Jun 05 21:19:36 <tristan>	jdahlin, I mean, will we regret not having GtkBuildable actually be GBuildable
Jun 05 21:19:55 <mclasen>	jdahlin: I guess it comes down to wanting to serialize arbitrary objects vs widgets
Jun 05 21:20:17 <kris2>	leio: yes, we have been thinking about that at the last FOSDEM and set up a new tentative schedule based on that, which we are still trying to comply with
Jun 05 21:20:22 <tristan>	and in a worst case scenario, can we replicate it in gobject without breaking some compatability
Jun 05 21:20:27 <behdad>	many people would love to have it in glib level
Jun 05 21:20:42 <kris2>	leio: but, and this was also raised last week on irc, it is probably too late for most gnome 2.20 apps to take advantage of most gtk 2.12 stuff anyway
Jun 05 21:21:12 <behdad>	it's like the printing stuff
Jun 05 21:21:13 <jdahlin>	Generic GObject serialization is really out of the scope for the GtkBuilder work IMO
Jun 05 21:21:17 <mclasen>	even so, I would like to see gtk 2.12 in the next gnome release
Jun 05 21:21:20 <behdad>	people won't start using it until it's in trunk
Jun 05 21:21:22 <vuntz>	kris2: it's not too late yet
Jun 05 21:21:26 <mclasen>	because I don't want to maintain the 2.10 branch for another year
Jun 05 21:21:54 <jdahlin>	Agreed, Gtk+ needs to move forward
Jun 05 21:21:54 <xan>	speaking of schedules, and I know this is very preliminary, is there any consensus that a canvas should go into 2.14 and do you have any rough estimate of the release date (12 months from 2.12, 16, 20...?)
Jun 05 21:22:24 <mclasen>	xan: I don't think anybody is prepared to commit do doing the "one true canvas that can go into gtk" in that timeframe
Jun 05 21:22:42 *	behdad reviews offscreen
Jun 05 21:23:15 <ebassi>	xan: but in any case, a tentative timeframe for the next release can be outlined once 2.12 is out of the door, or something
Jun 05 21:23:28 <kris2>	mclasen: yes, fair enough; I really do hope we will be able to come up with a very stable 2.12.0 though
Jun 05 21:23:33 <leio>	There are certain small things in gtk 2.12 that would be nice for GNOME 2.20 I think. GtkRange::fill-level would be my primary example for things like totem
Jun 05 21:23:46 <mclasen>	the 2.14 schedule should be worked out at guadec, i'd say
Jun 05 21:23:54 <kris2>	yeah
Jun 05 21:23:56 <ebassi>	mclasen: was about to say
Jun 05 21:23:59 <xan>	the canvas is done when it's done and we speak about 2.14 when 2.12 is done, fair enough :)
Jun 05 21:24:55 <mclasen>	ok, so do we have agreement on doing one more week of review on gtkbuilder and decide next tuesday about the options
Jun 05 21:25:04 <mclasen>	where options would be trunk vs branch, I guess
Jun 05 21:25:06 <kris2>	sure sounds good
Jun 05 21:25:38 <mclasen>	lets hope more people participate in the review; murray's comments today were already helpful
